Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
APU,"AmeriGas Partners, L.P.",44.59,4145222489,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",159.25,23557854252,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),81.12,17690815977,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,5.79,182439588.1,n/a,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,47.3,2259631351,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,13.85,171206581.1,n/a,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,90.38,27596547496,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph
BETR,"Amplify Snack Brands, inc.",5.32,408288443.4,n/a,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,6.9,55815507.6,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr
AME,"AMTEK, Inc.",70.6,16316874673,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,"AmTrust Financial Services, Inc.",23.4,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",23.23,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",23.1499,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",22.78,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",24.39,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",20.98,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",25.5,0,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",25.9,0,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,32.3,0,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,47.69,26093943893,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
ANDV,Andeavor,103.55,16153521865,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/andv
ANDX,Andeavor Logistics LP,43.21,9338383379,n/a,2011,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/andx
AU,AngloGold Ashanti Limited,10.52,4295570921,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,117.51,2.27206E+11,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,67.1,2232574484,n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,11.76,13636225998,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^C,Annaly Capital Management Inc,25.67,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,25.6,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,Annaly Capital Management Inc,25.61,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
NLY^F,Annaly Capital Management Inc,26.39,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^f
AMGP,Antero Midstream GP LP,17.31,3222809987,n/a,2017,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,25.75,4805677180,n/a,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,18.61,5873920769,n/a,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",220.03,56495017436,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",54.99,14571591688,n/a,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,5.63,552362694.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.2968,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,27.954,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,25.36,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,138.12,34515871981,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,39.86,15184373192,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,44.4,6971835142,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,26.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,18.49,1980671635,n/a,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^C,Apollo Commercial Real Estate Finance,25.47,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",30.35,12413092123,n/a,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
APO^A,"Apollo Global Management, LLC",26.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apo^a
AIY,Apollo Investment Corporation,25.83,0,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,16.22,252595049.4,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,15.77,228097690,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",19.43,4334072121,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",61.45,2385194347,n/a,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",86.74,5403366641,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,"Aqua America, Inc.",36.64,6510583511,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
AQ,Aquantia Corp.,11.8,381388744,n/a,2017,Technology,Semiconductors,http://www.nasdaq.com/symbol/aq
WAAS,AquaVenture Holdings Limited,15.48,409493043.7,n/a,2016,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/waas
ARMK,Aramark,41.37,10137253708,n/a,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
