Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
TAYD,"Taylor Devices, Inc.",13.065,45144252.27,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tayd
CGBD,"TCG BDC, Inc.",18.51,1151462732,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/cgbd
TCPC,TCP Capital Corp.,16.04,943029518.6,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/tcpc
AMTD,TD Ameritrade Holding Corporation,49.24,27829074696,n/a,1997,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/amtd
PETZ,"TDH Holdings, Inc.",8.58,79150500,n/a,2017,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/petz
TECD,Tech Data Corporation,93.21,3555880687,n/a,1986,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/tecd
TCCO,Technical Communications Corporation,4.7,8647421.9,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/tcco
TTGT,"TechTarget, Inc.",13.72,378636835.6,n/a,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ttgt
TGLS,Tecnoglass Inc.,7.01,240068841.3,n/a,2012,Consumer Durables,Electronic Components,http://www.nasdaq.com/symbol/tgls
TGEN,Tecogen Inc.,2.39,59091296.88,n/a,2014,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tgen
TNAV,"Telenav, Inc.",5.05,223776428.2,n/a,2010,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/tnav
TTEC,"TeleTech Holdings, Inc.",40.85,1872936307,n/a,1996,Technology,Professional Services,http://www.nasdaq.com/symbol/ttec
TLGT,"Teligent, Inc.",3.705,197848041.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tlgt
TELL,Tellurian Inc.,12.15,2584198858,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tell
TENX,"Tenax Therapeutics, Inc.",0.4121,11636280.61,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/tenx
GLBL,"TerraForm Global, Inc.",4.8,832529193.6,n/a,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/glbl
TERP,"TerraForm Power, Inc.",12.84,1903201668,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/terp
TBNK,Territorial Bancorp Inc.,31.36,309852511.4,n/a,2009,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tbnk
TSRO,"TESARO, Inc.",81.45,4429408036,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tsro
TESO,Tesco Corporation,3.75,175336057.5,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/teso
TSLA,"Tesla, Inc. ",316.76,53237028040,n/a,2010,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tsla
TESS,TESSCO Technologies Incorporated,17.6,147455598.4,n/a,1994,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/tess
TTEK,"Tetra Tech, Inc.",48.5,2709840500,n/a,1991,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/ttek
TTPH,"Tetraphase Pharmaceuticals, Inc.",6.505,334452174.7,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ttph
TCBI,"Texas Capital Bancshares, Inc.",82.2,4079301999,n/a,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbi
TCBIL,"Texas Capital Bancshares, Inc.",25.6243,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbil
TCBIP,"Texas Capital Bancshares, Inc.",25.76,154560000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbip
TCBIW,"Texas Capital Bancshares, Inc.",68.2636,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbiw
TXN,Texas Instruments Incorporated,98.63,97205841090,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/txn
TXRH,"Texas Roadhouse, Inc.",48.15,3423764252,n/a,2004,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/txrh
TFSL,TFS Financial Corporation,14.965,4206228592,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tfsl
TGTX,"TG Therapeutics, Inc.",7.6,536957229.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/tgtx
ANDE,"The Andersons, Inc.",30.4,863360000,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/ande
TBBK,"The Bancorp, Inc.",9.6,536252736,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tbbk
BPRN,The Bank of Princeton,32.73,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bprn
CG,The Carlyle Group L.P.,20.775,6947490655,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/cg
TCGP,The Carlyle Group L.P.,25.37,0,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/tcgp
CAKE,The Cheesecake Factory Incorporated,45.24,2071326293,n/a,1992,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cake
CHEF,"The Chefs&#39; Warehouse, Inc.",19.25,511358501.5,n/a,2011,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/chef
TCFC,The Community Financial Corporation,35.99,167341191.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcfc
DSGX,The Descartes Systems Group Inc.,30.55,2345430333,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dsgx
DXYN,"The Dixie Group, Inc.",4.1,66179375.1,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/dxyn
ENSG,"The Ensign Group, Inc.",23.77,1216324520,n/a,2007,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ensg
XONE,The ExOne Company,11.97,193418669.4,n/a,2013,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/xone
FINL,"The Finish Line, Inc.",9.89,397517997.4,n/a,1992,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/finl
FBMS,"The First Bancshares, Inc.",32.7,365991512.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fbms
FLIC,The First of Long Island Corporation,29.3,721693105.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/flic
GT,The Goodyear Tire & Rubber Company,30.89,7609044304,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt
HABT,"The Habit Restaurants, Inc.",8.9,231622713.6,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/habt
HCKT,"The Hackett Group, Inc.",16.02,459074534.8,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/hckt
HAIN,"The Hain Celestial Group, Inc.",41,4255459208,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/hain
CUBA,"The Herzfeld Caribbean Basin Fund, Inc.",6.99,42874276.41,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cuba
INTG,The Intergroup Corporation,23.4882,55425669.26,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/intg
JYNT,The Joint Corp.,5.37,72592444.02,n/a,2014,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/jynt
KEYW,The KEYW Holding Corporation,5.16,256943928.6,n/a,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/keyw
KHC,The Kraft Heinz Company,79.6,96990039746,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/khc
OLD,The Long-Term Care ETF,25.01,2501025.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/old
MSG,The Madison Square Garden Company,214.31,5049238539,n/a,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/msg
MDCO,The Medicines Company,30.58,2229199281,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mdco
MEET,"The Meet Group, Inc.",2.56,183823401,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/meet
MIK,"The Michaels Companies, Inc.",18.49,3346437501,n/a,2014,Consumer Services,Recreational Products/Toys,http://www.nasdaq.com/symbol/mik
MIDD,The Middleby Corporation,120.24,6722964210,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/midd
NAVG,"The Navigators Group, Inc.",50.65,1494338144,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/navg
SLIM,The Obesity ETF,29.54,2954029.54,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/slim
STKS,"The ONE Group Hospitality, Inc.",2.07,52343201.97,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/stks
ORG,The Organics ETF,33.205,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/org
PCLN,The Priceline Group Inc. ,1761.57,85910969147,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/pcln
PRSC,The Providence Service Corporation,56.66,753889743.3,n/a,2003,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/prsc
RMR,The RMR Group Inc.,60.2,1871889502,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/rmr
SMPL,The Simply Good Foods Company,12.72,897810328.6,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/smpl
SMPLW,The Simply Good Foods Company,2.74,0,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/smplw
TSG,The Stars Group Inc.,22.2,3274088523,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/tsg
TTD,"The Trade Desk, Inc.",49.88,2048799153,n/a,2016,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/ttd
